id,shopName,ownerName,phone,address,gpsLatitude,gpsLongitude,creditBalance,isActive,createdAt,updatedAt,externalId,routeName
29,AKB SCHOOL CHERANMAHADEVI,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
30,AKV TEA HOUSE SAMATHANAPURAM (JAM JAM BRIYANI OPP),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
31,AL- SAUDIA COOL BAR(MELAPALAYAM) NEAR FIRSH MARKET,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
32,ALAYA AGENCY(VALLANADU),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
33,ALAYA BAKERY AND SWEETS,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
34,ALIF CHAI MELAPALAYAM,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
35,ALKATHIRA STORE,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
36,"AM STORE, SREEMATHI OPP",0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
37,AMBALAVANAN COFFEE THENIR STORE(rastha),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
38,AMMACHI HRIPCY HOUSE,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
39,AMMUZ CAFE VANNARPETTAI,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
40,AMUL MANGAMMAL SALAI,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
41,AMUTHAN CAFE NGO COLONY(CHURCH OPP),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
42,ANAND BAKERY RAJAVALLIPURAM ROAD,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
43,ANGEL SWEETS AND STORE(THIYAGARAJA NAGAR),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
44,ANISH COOL BAR TOWN BRIDGE,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
45,ANITHA STORE THENKALAM ROAD RASTHA,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
46,ANITHA SUPER MARKET THACHAI,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
47,ANITHA TEA STALL JUNCTION(ANIL STORE OPP),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
48,ANNAI COOLDRINKS(NEW BUS STAND START),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
49,ANNAI STORE(THACHAINALLUR),0,0.0,0.0,0.0,0.0,0.0,0.0,2026-02-14 13:14:08,2026-02-14 13:14:08,0.0,0.0
